"fips","1.28.20","2.12.20","2.19.20","2.25.20","2.5.20","3.11.20","3.18.20","3.24.20","3.30.20","3.9.20","4.15.20","4.21.20","4.28.20","4.7.20","5.13.20","5.2.20","5.6.20"
"22105",25,0,0,0,0,0,0,0,4,21,213,153,98,51,65,74,63
"22107",5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0
"22109",23,0,0,0,0,0,0,3,11,26,154,71,81,36,87,64,58
"22111",42,0,0,0,0,0,0,0,0,9,24,17,32,26,36,27,74
"22113",5,0,0,0,0,0,0,0,0,8,11,8,6,2,5,1,4
"22115",1,0,0,0,0,0,0,0,0,3,8,3,0,2,1,1,3
"22117",8,0,0,0,0,0,0,0,3,25,72,62,44,50,36,55,28
"22119",7,0,0,0,0,0,0,0,3,14,33,15,14,6,10,6,18
"22121",4,0,0,0,0,0,0,0,4,9,39,24,14,4,21,9,24
"22123",2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,14
"22125",3,0,0,0,0,0,0,0,0,4,27,15,35,28,47,25,9
"22127",10,0,0,0,0,0,0,0,0,1,2,9,7,7,20,8,36
"23001",58,0,0,0,0,0,0,3,0,5,15,5,8,6,20,35,54
"23003",1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,1
"23005",105,0,0,0,0,0,0,20,54,80,99,78,55,80,105,150,142
"23007",3,0,0,0,0,0,0,0,0,2,3,3,5,14,2,2,2
"23009",0,0,0,0,0,0,0,0,0,0,2,3,1,4,0,0,1
"23011",4,0,0,0,0,0,0,1,4,5,16,55,16,6,2,6,9
"23013",0,0,0,0,0,0,0,0,1,3,5,2,2,2,1,3,1
"23015",1,0,0,0,0,0,0,2,3,3,1,2,1,0,1,2,2
"23017",2,0,0,0,0,0,0,1,5,3,3,1,1,1,0,2,0
"23019",4,0,0,0,0,0,0,0,4,8,19,3,12,11,28,5,4
"23021",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"23023",1,0,0,0,0,0,0,0,3,4,6,1,3,1,1,2,6
"23025",1,0,0,0,0,0,0,0,0,1,3,7,5,1,0,0,3
"23027",1,0,0,0,0,0,0,0,1,1,3,24,14,5,1,0,1
"23029",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"23031",24,0,0,0,0,0,0,1,15,37,62,37,31,17,26,38,43
"24001",2,0,0,0,0,0,0,0,0,0,6,11,39,59,14,19,18
"24003",226,0,0,0,0,0,0,3,21,103,243,413,374,414,474,475,461
"24005",250,0,0,0,0,0,0,6,36,185,425,725,548,706,799,621,869
"24009",36,0,0,0,0,0,0,0,3,12,26,58,17,23,35,37,44
"24011",15,0,0,0,0,0,0,0,1,3,7,10,20,28,30,75,34
"24013",43,0,0,0,0,0,0,1,4,87,67,100,71,86,97,76,123
"24015",16,0,0,0,0,0,0,0,3,11,27,44,49,29,32,75,53
"24017",61,0,0,0,0,0,0,1,4,35,96,156,109,138,121,101,134
"24019",4,0,0,0,0,0,0,0,0,0,3,11,11,26,25,26,20
"24021",134,0,0,0,0,0,0,1,3,29,118,290,191,238,201,211,209
"24023",0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,1
"24025",37,0,0,0,0,0,1,1,3,20,34,88,85,126,141,115,95
"24027",121,0,0,0,0,0,0,3,27,87,119,167,162,237,208,224,231
"24029",3,0,0,0,0,0,0,0,0,3,5,3,18,44,21,26,23
"24031",482,0,0,0,0,0,5,19,83,281,483,1012,885,1235,1538,1589,1820
"24033",837,0,0,0,0,0,3,11,49,278,679,1336,1378,1762,2335,2061,2348
"24035",8,0,0,0,0,0,0,0,1,3,11,4,8,25,13,38,30
"24037",32,0,0,0,0,0,0,0,2,13,31,52,9,38,25,76,92
"24039",9,0,0,0,0,0,0,0,1,0,3,1,6,9,17,14,11
"24041",5,0,0,0,0,0,0,1,0,2,5,6,8,12,11,16,7
"24043",37,0,0,0,0,0,0,0,2,9,33,52,30,61,51,46,68
"24045",15,0,0,0,0,0,0,0,4,3,10,46,113,164,160,194,145
"24047",16,0,0,0,0,0,0,0,2,1,7,11,12,21,27,33,50
"24510",490,0,0,0,0,0,0,1,40,146,272,503,580,435,632,795,598
"25001",80,0,0,0,0,0,0,2,38,151,214,109,158,148,149,124,84
"25003",13,0,0,0,0,0,7,7,23,134,107,82,44,26,27,28,12
"25005",282,0,0,0,0,0,0,5,26,275,462,667,417,1418,965,890,955
"25007",0,0,0,0,0,0,0,0,0,4,4,3,3,1,6,2,3
"25009",473,0,0,0,0,0,1,7,110,666,1057,1753,1927,2451,2007,1593,1176
"25011",2,0,0,0,0,0,0,0,5,56,56,38,37,45,38,22,11
"25013",233,0,0,0,0,0,0,1,23,330,643,801,735,1013,657,628,504
"25015",32,0,0,0,0,0,0,0,8,61,89,75,104,172,66,127,78
"25017",581,0,0,0,0,0,41,48,215,1036,1847,3067,3367,3796,2563,1973,1551
"25019",1,0,0,0,0,0,0,0,0,4,5,0,0,2,0,1,0
"25021",159,0,0,0,0,1,21,21,86,609,854,1377,1093,1505,899,580,519
"25023",226,0,0,0,0,0,0,5,59,395,735,1013,836,1701,992,771,691
"25025",355,1,0,0,0,0,18,23,192,1139,1872,2627,2797,3471,2033,1281,1371
"25027",519,0,0,0,0,0,1,7,65,360,739,1074,1095,1658,1598,1362,1623
"26001",3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2
"26003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26005",13,0,0,0,0,0,0,0,1,2,15,5,24,37,36,41,23
"26007",2,0,0,0,0,0,0,0,0,0,0,1,34,32,18,2,4
"26009",0,0,0,0,0,0,0,0,0,3,3,2,1,0,1,0,1
"26011",1,0,0,0,0,0,0,0,0,1,2,2,8,5,9,1,3
"26013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"26015",0,0,0,0,0,0,0,0,1,1,5,7,12,5,8,13,5
"26017",19,0,0,0,0,0,0,1,1,7,22,29,26,49,27,52,36
"26019",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"26021",33,0,0,0,0,0,0,0,8,27,29,47,59,62,83,96,127
"26023",4,0,0,0,0,0,0,0,0,2,14,13,13,11,17,12,13
"26025",26,0,0,0,0,0,0,0,4,13,26,47,66,54,36,29,33
"26027",12,0,0,0,0,0,0,0,0,4,5,4,9,5,7,9,18
"26029",0,0,0,0,0,0,0,1,2,1,4,3,1,1,0,0,1
"26031",2,0,0,0,0,0,0,0,0,1,9,2,2,3,2,0,0
"26033",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"26035",2,0,0,0,0,0,0,0,1,0,1,2,5,2,0,1,3
"26037",0,0,0,0,0,0,0,0,5,19,49,25,7,9,6,6,10
"26039",1,0,0,0,0,0,0,0,0,1,4,10,15,21,5,1,0
"26041",2,0,0,0,0,0,0,0,0,1,6,2,3,1,1,0,1
"26043",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0
"26045",8,0,0,0,0,0,0,0,3,18,40,15,23,20,19,14,13
"26047",0,0,0,0,0,0,0,0,2,3,9,7,0,0,0,0,0
